rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
590,HD 218566,Radial Velocity,1,225.7,0.4,-0.4,0,0.6873,0.0008,-0.0008,0,0.3,0.1,-0.1,0,,,,,0.21,0.02,-0.02,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
591,HD 219077,Radial Velocity,1,5501,130,-119,0,6.22,0.09,-0.09,0,0.77,0.003,-0.003,0,,,,,10.39,0.09,-0.09,0,,,,,,,,,,,,,0,0,5362,18,-18,0,0,1.05,0.02,-0.02,0,0,1.91,0.03,-0.03,0,0
592,HD 219415,Radial Velocity,1,2093.3,32.7,-32.7,0,3.2,,,0,0.4,0.09,-0.09,0,1,,,0,,,,,,,,,,,,,,,,,0,0,4820,20,,0,,1,0.1,,0,,2.9,0.4,,0,
593,HD 219828,Radial Velocity,1,3.8335,0.0013,-0.0013,0,,,,,0,,,0,,,,,0.06,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
594,HD 220074,Radial Velocity,1,672.1,3.7,-3.7,0,1.6,0.1,-0.1,0,0.14,0.05,-0.05,0,,,,,11.1,1.8,-1.8,0,,,,,,,,,,,,,0,0,3935,110,-110,0,0,1.2,0.3,-0.3,0,0,49.7,9.5,-9.5,0,0
595,HD 220689,Radial Velocity,1,2209,103,-81,0,3.36,0.09,-0.09,0,0.16,0.1,-0.07,0,,,,,1.06,0.09,-0.09,0,,,,,,,,,,,,,0,0,5921,26,-26,0,0,1.04,0.03,-0.03,0,0,1.07,0.04,-0.04,0,0
596,HD 220773,Radial Velocity,1,3724.7,463,-463,0,4.94,0.2,-0.2,0,0.51,0.1,-0.1,0,,,,,1.45,0.3,-0.3,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
597,HD 221287,Radial Velocity,1,456.1,7.7,-5.8,0,1.25,0.04,-0.04,0,0.08,0.17,-0.05,0,,,,,3.09,0.79,-0.79,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
598,HD 222155,Radial Velocity,1,3999,469,-541,0,5.1,0.6,-0.7,0,0.16,0.27,-0.22,0,,,,,1.9,0.67,-0.53,0,,,,,,,,,,,,,0,0,5765,22,-22,0,0,1.13,0.11,-0.11,0,0,1.67,0.07,-0.07,0,0
599,HD 222582,Radial Velocity,1,572.38,0.61,-0.61,0,1.347,0.078,-0.078,0,0.725,0.012,-0.012,0,,,,,7.75,0.65,-0.65,0,,,,,,,,,,,,,0,0,5727,,,0,0,0.99,,,0,0,,,,,0
